BBSHHBBSBSSHSSBHSSHSHBHSHHSBSHBS
HHBSBHBHSSHSSSSSHBSSHBBBSBBHHSBH
SHSBHBSSSHSBBBHSBBBSSBSHBSSHBHBS
HHSSSHBHBSSSHSBBSBHHBBBHHBBBSSHH
BSSHBBSSSHBBBSSHSHBSSHHBBSSSSBHS
BHBSBSHBSSHHHBHHSBSSHSHHBSSBSHSH
SHBHHSBSHHBHHSHSSHBBBSBSHHSHBBHH
BHBSBBBSBHHBSSHSSHSSBBBHSBBSSHHB
BHSSSHBHSSBSHBSBBHSSSHHHHBHBSBHH
BHBBBSSHHHBSSBHSSHSHBBSHHBBBHHSH
HSBBSBBSHSBSBHHBHSHBSHSBBBSSHSHH
SHHHSBSSSHHSHSSBBHBSSBSSSHBHHSBB
BHHBHSBHHBHSSSSBHBHHHHHHSHBBSSSB
BHHBHSBHBBBBSHHSSHSBSBHSBBBBBSBB
SSSBBHBBSHHBSHBHHSBBBBHSBBHBBSHS
HHSSHHSHBBHSBSBSBHBSBHHBHBSBSSHS
HSSHHBBSHHBHHSHSSHBHBSBSHHSHBBHH
BHBSHHBSHSHSSBHSSHSSHHHHHHHHBBHS
BHBBHHHSBHHBBBSBBHHSBBBBSBSSSBSB
BHBSSBHBHBSBBBHBHSHBSHSBBSBSHSHS
HSSBBBSSHSBHHBSBHHHSSHSHHBBSHSHH
BHHSSBSSSSBHSSHSSSSSSSBSHBHBBHBB
SHBSBSBBBHHSHSHBSHHHBSBBBSBHBBHH
HHBBSHSBHSHBHHSSBSBBSHHBHBSSHSSB
BBHHSSSBHBBBBHHSBSSHSHBBBSSHBBBB
BBHSSHHHHHHSSBHSBSSHHBSHSSHSHHBH
HHSHHBBHSHHSBHHBHHHBSHHHSBBBHBSS
BBBHHHBBBHSHBSSHHBSSSBSSHSBBBHHH
SBHBHBHSBSSHBHBHSSHBHHHBHSHBSBSS
HBHHSBHHBBHBSBSSHBHSBBHSHHSBHBBS
BBHHSBSSBHBHBHHSHSHBSHSBBBSSHSHH
HBBHHSHSBHSSSBHBBBHHBHBBHHBHHSSH
HHHHSBHSSHBSBHHBBBSBHHSBHSHBSHHH
BHSHBSSHBBSBHHHBHHHSSHHSHBSSHHSH
HHHSBSBHBHSSHSHSHBBBBBSBHBBHBHSS
SBHHSHSSHSBBBHSSBBHSHBHSHHSSHBBH
BBHHSHBHHHSHHHSBSSSHSHBHHSHBBBBH
HBSHHSSBSSBHBBSBBHHBHBBSBSBBBBBB
BBSSHHSSSHHSBSHBSBBHHBBSHHSBSHBH
HHHSHSSBHBHHBHSBBBSSHBHBHBHHBHHS
SHSSBSSSHBBHSBSBHBSHSHHHSHHHBBBB
HSSBBBSSHSBHHBSBHHSHHHHHSSBBBHSS
HHBHSSSHBHHHSHHHBHHBHSHHBHSBHBSS
HHHBSHHSHBSBSSHSBHHHSBHBBSSBBBBB
BHBHSSSSSSHHBSBHSBSSBHSBSHBBHHHS
HBSBBHHSSHBBHBHBBBHHBSBBHSHBHBSH
SHSHBSSHBBHBBBHSHBBSHHBHSBHBBHHB
HHSBBSBHHHSSSSSHHSHBSSSHBSHHSSBB
HHHBBHBHSHHSSHSBHBHBBHHBSBHBSBBH
HBBHBSSBSBSHHHSBBHHHBSBSSBSBSHHH
HBSHSBBSHSBBHHHHSBSHHHHHHSBSBHHB
BHBHBHSHHHBHBHBHSHHHSBBSHBSHHSSS
HSHHHBHHBBHSSHHBSBBHHBBHSBHSHBSH
BSHHBHHSBBSSHBSHSHSBSHBHSBHHHSSB
BSHBHHHHBHBBBHHSHHSBHSSBBBSHHHSB
SHBSBSSSBSBBHSSHHHBSHHHBSBBSHHSB
SHBSBSHHBHBBHBBSHHBBBHSBSBHHHBSS
SSBBSHSSSSBHSSBHSSSSBBHHSHHSHBBH
SSBBBSHSHHBHBBBHHHBHBBHBSSBHBBHS
HSBHHBSHBSBHSHBHBHSSSHHBBHBSBHSH
BHHBBSSHBHHBSHSBSBHSSSHHHHSSBBBH
HBSSBBBBBBSBHHHBHHHHHBHSSBSBHHHB
BBHBBHBHHBBSHHHSHBSBHHHHSSBHSBBS
SHBHHSSSSHHBHBHBBBBHBHSBSBBHHSBB
HBSBHBHBBBBHBSHHSBBBBSHHHHBBHSHB
SBBHSHSSBSHHHHBSBHBHHHHBSSHHSBSS
BSSSHHSSHHSHBSBBBHSHBBHSBHHBBBBH
SSBBBSHSHHBHBBBHHHBHBBHBSSBHBHHS
HSBHHSSHBSBBHBHSBBSHHHBBBHBHBBSB
BHHBSBHHSHBBHSHSHHBBBSBSHHSHBBBH
BBBBBBBSHSBBHHBHSBSHHSBHBBSHBSHB
BBBBBSBHBBSSHBBHSHBBHSBHBBSHBSHH
BBBBBHHBSSBSHSBBHSBHSHBHBHBBSBBB
SBHHHBBSHHBBHSHSHHBBBSBSHBSHBSBH
BSHBHHHSHBHHSHHHSBHSHBSSSHBHBBBS
SSSSBHSHBBSSHBBSSHBBHHBHBBBHBHBB
HSBBSBBSHSBBHHHHSBSHHHHHSSBBBHSS
BBHBBSHBHBSSBSBHBSHHHSSHBHHBHSSB
HSHHHBSBHSHHBSHBHHBBSBBHBHSHHSBB
HHHSBBBBHHBHSBBHHBBHSBSHHHSBBHHB
SBHHSHBHHHHHSHHSSBSBBHHSBSHBHBSS
HHBHHBSHHHHHHSHSHHBBBSHBBSSBHSSS
SBHBBHHHSHBBBSBHSHSHHHSHHHBHHSHB
SSSBSHHHBBHBBBHBHBSHBBHBBBHHBBHS
SHSHBSSHBBHSHHBHSHSHHHBHSHBHBHBS
SHHBBBHBHSHHSBBHSBBSSBBBHBHSHSHH
BBHBHSBBSBBBSHBHSHSBBSHBBBHBBBBH
BHSBHSBHBBBSHBBHBHBBHBHHSBHSHHBH
HHBBSHSBBHHBBHHHHHBSSHHSBHHBBSSB
HBSSBBHHHHSBHHHBHHHHHSHSSBSBHHHB
HBSSBSBBHHHBBHHHHSHSHHHBSBBHHBHS
BHSHBSSBHBSSSHSHSHSBSBSHHBHBBHBH
BHHHBHSHHHSSSHSSHHHBHSHHSSSSSHSS
HSSHBHBBHBSBBSHBHBHHBHBSSHSHSHHB
HSSSBSHHSHHSHHBHSHBBBSHBSBBHBHBS
HHBBHBBBBSHHHBHBHSBHBBHBSSSHBHHH
HHHSHHBSHHBHBBHBHBHBBBHBSHHBSSHS
HBSSBHHHBHBHSBBHBHBBSBSHHHSBBHBB
BSHHBSSBHSHHBSHBHHBBHBSHBBBHHSBB
SSHHBSSHHHBBHHBHSHHBBHHSSHHHBSBB
HBHBBHHSSHBBHBHBSHBBHSHBHHSHSHSS
BBHBBHHBHBHHSHHSBSBHBHSSSBHBHHHS
HSBBSBBSHSBBHHHHSBSHHHHHSSBSBHSS
HHSBHBHHHSBSBBBSSHBBHHBHBBBHBHBB
SBSHHHBHBSBHHHBHBBHSBSHSSBBHBBBB
SBSSBHBHBBSSBBBHSHBBHHBHBBSHHHBH
HBBSHSHSHBSBBHHHBBHHBBBBBBBHHBSB
BSSBBSHBSHHBSHBHBSSBSBHBSBBHBBHH
BBBHSBHSBHBHHBSSSHBHBBBSSBBHHBBB
BBHHHSHHBHHBHBHSBBBHHHBSSBBHBBSH
HBBSSHSSBHHHHHBSBHBHHHHBSSHHSBHB
SHBSBHHHBBHBHHHSBHBHHBHHSBSSSSBS
BHHSBHSHHHSSSBHHSSSBBSSHHHHHBSHH
HSHSHBBHSHSHBBSBBHBHSHHHBBHBHBSH
HHBHBHBSBBBSBHBHHHBSHHHSHBHHHBSS
SBBHSHSSBHHHHHBSBHBHHHHBSSHHSBSB
HSHSHHHHHBBSBHSHHBSHHHSSBHHSHHBH
BSBHBHSHHBHBSBBSHSHHBHBBHHBHHSSH
BHBBHSBHBBBSHBHHBHBBHBHHSBBBHBSS
BHHBHHSHHSBHSSHHHHBSHBSBSSHHHBSB
BBBBBSHHBHBHBSSHBSSHSBSHSHHSBBHH
BBHBHSHHBBSSHHSSHSHHBHSHHHBHSBHB
SHHHBBBBHHBHSBHHBBBSHBHBSHHHBSBS
HBBBBHBHHSHBBSHHSBBBBSSHHHSBHHHB
HHHSHSBHBBSSBBBHSHBBHHBHBBSHHHBH
SHBBHHHHSHBHBSHHSHSHBSHHHBBHBSHB
BHSBSBHHSBHBHSHHBSBHBSHHSHSHBHBB
SHHHBBHSHHSHHHBBBBHSSSHBSHSBBBBH
SHSHSHBHHBHBSHHHSBBBBSSHSHSBHHHB
BHHBSSBBHBBHBSHBHHSHHBBBHSBSBSBH
BSBSSHHBHBBHHBBHHHBHHHBSSHBBBBBH
SHHBHBHBHHBHHHSHSHHBBHBHSHSHSSSS
HSBHHSBHHHBHSHBBHHSBHHBHHSBBHBSB
HBSSBHSHBBSSBHHBHSHBSHSBBBSSHSHH
SSBHBBSHBHHHSSHHHHBBHHSBSBHHSHSH
SSHHBBBHSHBBBHHBSSBHBBHHHBSBSHSH
BBHHSSHSSBBBBBHHBBBHBHBBBBHHHSHH
HBBSSHSSBHHHHHHBBHBHHHHBSSHHSBBH
SSHSHSBHBBBBSBHHHSSBBHBBSHBSSHBH
