BHHHHSHHHHHHHHHSHHHHHHHHSHHHSHBS
SBHHSHSHHBSBBBBBSBSHSSHHSSBSHHBB
BBHBSSBHHHSSBBBBHBHSBSBHHBHBBHHB
HBBBSHBHHBSHBBHBSHSSHBHHBBBHSHBB
BBHHHSHBBHBSHSHHHBSBHBHBHHBBSHSH
BBHBBHHBBHBSBHHHBHHHBBHHHSSSHHSH
HHBHHHBBBHBSBHHHHHBBBHSHBSSSHHHB
BHHHHHHHSHHSHHBHHBHBBHHHBSSBSSHS
HBHHHSHHHHHSBBSSHHSHBSHSHBSBHHSH
HHHHSHHBHSHBBHBBBHSHHSBHSHBHBSBH
BBBBBSHBBHHBHHBSSBHBBBBHHHHHHHBB
BBBHSBHBHHHHBHHBHSSSHSHHSBHBHBBS
BHSHSHSBBHSSHHBHHSHSHSSBSHBSHHBS
BBBBHSHBBHSHSBHBSHBHHHHHHSHBSSBB
BBHHHHBBHSHSBHHHHBSSHHHHHSBHBBBH
BBHHHSBHBHSHHHHHBHSHHSBHBHBHBSHB
BBHBHHBBBHSHHBHSBHSHSHHHBHHBBSSB
BBBHHSHBHBBHHBHHBHSBSBBSHBSHBHHB
BSHHHSHHSHBSSHSHHBHHHBSHHSBHSHSH
SBHHHSSHBHSSBHHSBHSSHSHHBBHHSSSS
BBBHHSBHBSHHBBHSHHHSHBHSSHHSSBSS
SSHHHHHBHHBBHBHHSBSHBSHSSHHBHSHB
BHHHSHSBBHBSBSHHHHSSSHSSHBSSBSHS
BHHHHSSBSSBSHSBHSHSHBHHSHSBHSBBB
HHHBSBHBSHHBHBBBHHHHHHHHHHHSHHHS
HHHHHSHBBSBBBSHSHSSHBBBHBBSHBSBS
HHHHHSHBBHHHSHSHHBHHSSSSSSHHSSSH
BHHHSHBBBSHSSHHHHSSSHHSSBSBHHBBB
HHBSSHSBSHSHBSBHBSSSSHSBHBHSBHBB
HHBHBHHSBHHHHBBHHHHBBHBBBSBHHHBH
HBHHBSHHBHBHHHHHHBBHHHHSSHBBSSHS
HBBHHBHBHHHHBHBHBBSHSHBHHSHHHBHH
SSBHHBHHHBBBHBSHHHSBHBBBBSHBHBBS
BBBHSBHHHBBHBHBBSBBBHHBHSHHHSBHS
SHHHHSHBBSSHHSHBHHSSSSSHSSSSHHHB
