SBBBHSBHHHSSBSSHSSSSBBBSBHHSBBSS
SHSSBSHBSSBHSSHSBSHSSSBSSBSBHSSS
SBSHSSHHHSBHSSSSBHBSSBBHSHHSHBHB
HHHBHSSHBHSBHBSSSSHHSSSBBBBHHSHB
HBSHSSHHHSBHSSSSBHBSSBBHSHHSHBHB
HBBHBBBSBHSSSBSSSSBBSHBBBBSBSHHB
HBBBHSBHHHSSBSSHSSSSBBBSBHHSBBSS
BBBSBHHBHSHBBSHHSSSBBBSBBSSSSSBS
HSSHBSHBHHHHSHSSHHHHSBSSSHBHSSBB
HHSBHBSBSSSHBHSBSBHBHBSBSSSHSBBH
SHSBSHHHSSSSBSHHBBSSSHBSSSBHBBHB
SHHSHHSHHHBSBBBSHHBBHHBSSSBSHSHS
HHBSBBBBSSHHSSHHSHSBHHHHBHSBBBBB
SSSSSHBSSSHSSSHHSSSSHSSBHHHSHBBS
HHSSBSHBSSBHSSHSBSHSSSBSSBSBHSSS
SHHSHHBSHBSHHSHHHSHBSHSSBSHBSSSH
SSHSHHSHHSBSHSSBSHBSBBHBBHSSSSSS
HBBSBBHHSSHBHHSBHSSSSSSSHBBHHSBS
SHHHBHBBSHHHHSHSBBSSSBHHSSSBSBBS
HBBSBHHBHSHBBSHHSSSBBBSBBSSSSSBS
HSSSSHBSSSHSSSHHSSSSHSSBHHHSHBBS
SSHHBBHBBSSSHHSHHHSBHBBBHSHHBSHB
BBBHBBBSBHSSSBSSSSBBSHBBBBSBSHHB
HHHSHHBSHBSHHSHHHSHBSHSSBSHBSSSH
HBSSHBSBBSBHSBSHHSSBBBHSSSBBSBHS
BHSBHBSBSSSHBHSBSBHBHBSBSSSHSBBH
SHHHBBBBSHHBSHBHHSHHSBSSHBBBSHBB
HHHSHHSHHHBSBBBSHHBBHHBSSSBSHSHS
BSBHBBBSBHSSSBSSSSBBSHBBBBSBSHHB
HHHHBHBBSHHHHSHSBBSSSBHHSSSBSBBS
BHSBHHSBSSSHBHSBSBHBHBSBSSSHSBBH
HBSSHHHHHSHBSSSHSSHSSSHHSHSSBHHS
HSHHBBHBBSSSHHSHHHSBHBBBHSHHBSHB
BBBHBBBSBHSSSBSSSSBBSHBBBBSBSHHB
HBBHBHHBHSHBBSHHSSSBBBSBBSSSSSBS
HSHBBBHHHBSSSBHBSHBHHHSBBBBSBHBH
BHHBHSSHBHSBHBSSSSHHSSSBBBBHHSHB
BSSSSHBSSSHSSSHHSSSSHSSBHHHSHBBS
SHSSHBHHHSSSSSBSHSHHBSBSBBBHHSHH
BHSHHHSBSSSHBHSBSBHBHBSBSSSHSBBH
BHHBHSSSBHSBHBSSSSHHSSSBBBBHHSHB
BSHSHSHHHHSHBHHHSSHBBBBSHSSSBHSH
HHSSSHHBHHBSHHBBSHHHBSSHHSHBHSBS
SHSBHBHSHBSSBHSBSBBSSSBSBHHHBSBB
BHBSBBBBSSHHSSHHSHSBHHHHBHSBBBBB
SHBSBBBBSSHHSSHHSHSBHHHHBHSBBBBB
BBSHBBBSBHSSSBSSSSBBSHBBBBSBSHHB
BBBHBHHBHSHBBSHHSSSBBBSBBSSSSSBS
HBSHSSHHSBSSBSHHHHSSBHHBBHSBHBHS
BHBHHHSBSSSHBHSBSBHBHBSBSSSHSBBH
SSHBBSSBSHHSBSSSBBHHSSHSHHSSHBBB
HBBHBHHBHSHBBSHHSSSBBBSBBSSSSSBS
BHSSBSHBSSBHSSHSBSHSSSBSSBSBHSSS
BHSSSHHBHHBSHHBBSHHHBSSHHSHBHSBS
BSSSHHHSSBBBSHSBBSHSHHHSSHSBSSSS
BSSHBSHBHHHHSHSSHHHHSBSSSHBHSSBB
HBHBSSBSBHHSSHSSHBSBBHHBSHHHSHSS
HSHBBSSBSHHSBSSSBBHHSSHSHHSSHBBB
HBHBHHBBHBBHBBSBHSSBSSBSSHSSHBBB
SBSHHHHHHBSSHHHBBSSBSBHBHBHHSHHB
HSSHBSSSBHHHBBBBBSBBBHHHHHSSSHHH
BBSHBSBSBHSSSBSSSSBBSHBBBBSBSHHB
SSSSHBBBSSBBHHBSBSSBHBHSBSSHHBSS
BHSBHSSSBHSBHBSSSSHHSSSBBBBHHSHB
SSBBHBHHHSHHBBBHHBSSHBSSHBSSHHHS
BBSSBSHBSSBHSSHSBSHSSSBSSBSBHSSS
BSHHHSHHBHSBSBBBSSBBHHHBBBHSSHBB
HHSBHBHSHBSSBHSBSBBSSSBSBHHHBSBB
HSSBBBSBHHBSHSSHSHHBBSSHBSBSHSHH
HSBBHBHHHSHHBBBHHBSSHBSSHBSSHHHS
BHHHHSHHBHSBSBBBSSBBHHHBBBHSSHBB
HHBSBBBBSSHHSSHHSHSBHHHHBHSBBBBB
